City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Campbellsville,US,37.3434,-85.3419,41.67,69,4,3.33,clear sky
247,Faanui,PF,-16.4833,-151.75,79.23,75,21,11.68,few clouds
248,Auki,SB,-8.7676,160.7034,84.65,64,18,2.95,few clouds
249,Yumen,CN,40.2833,97.2,30.97,23,12,12.19,few clouds
250,Rio Grande,BR,-32.035,-52.0986,50.95,79,2,2.89,clear sky
251,Navalmoral De La Mata,ES,39.8916,-5.5406,47.97,73,2,0.63,clear sky
252,Flin Flon,CA,54.7682,-101.865,30.78,85,87,4.9,overcast clouds
253,Road Town,VG,18.4167,-64.6167,78.01,75,21,10.58,few clouds
254,Sabha,LY,27.0377,14.4283,66.31,32,71,11.72,broken clouds
255,Armidale,AU,-30.5167,151.65,67.8,68,82,10.98,broken clouds
256,Banda Aceh,ID,5.5577,95.3222,81.19,80,90,11.92,light rain
257,Saint-Pierre,RE,-21.3393,55.4781,82.04,66,0,20.71,clear sky
258,Numan,NG,9.4667,12.0333,78.15,72,99,6.15,light rain
259,Lincoln,US,40.8,-96.667,53.65,86,0,5.23,clear sky
260,Helong,CN,42.5397,128.9972,53.67,78,100,15.52,light rain
261,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,78,99,4.59,overcast clouds
262,Kosonsoy,UZ,41.2561,71.5508,39.76,21,100,3.65,overcast clouds
263,Arlit,NE,18.7369,7.3853,74.86,15,62,6.31,broken clouds
264,Biltine,TD,14.5333,20.9167,78.73,16,2,8.52,clear sky
265,Zhangjiakou,CN,40.81,114.8794,26.24,69,2,14.85,clear sky
266,Caravelas,BR,-17.7125,-39.2481,71.78,86,65,2.86,broken clouds
267,Salta,AR,-24.7859,-65.4117,57.79,84,20,1.99,few clouds
268,Longyearbyen,SJ,78.2186,15.6401,12.04,85,75,8.05,broken clouds
269,Veraval,IN,20.9,70.3667,86.65,40,80,11.5,broken clouds
270,Saint Anthony,US,45.0205,-93.218,51.82,90,1,0.0,clear sky
271,Bonavista,CA,48.6499,-53.1147,48.11,86,72,11.23,broken clouds
272,Clyde River,CA,70.4692,-68.5914,10.08,91,49,11.41,scattered clouds
273,Bubaque,GW,11.2833,-15.8333,82.71,76,53,12.24,light rain
274,Angoche,MZ,-16.2325,39.9086,84.18,61,6,8.19,clear sky
275,Nome,US,64.5011,-165.4064,21.27,79,90,14.97,light snow
276,Constitucion,CL,-35.3333,-72.4167,54.86,78,3,9.44,clear sky
277,Talnakh,RU,69.4865,88.3972,14.83,95,100,7.61,overcast clouds
278,Pravokumskoye,RU,44.7694,44.6472,51.39,81,82,7.29,broken clouds
279,Toyooka,JP,35.5333,134.8333,71.71,64,75,17.27,broken clouds
280,Poum,NC,-20.2333,164.0167,76.42,78,95,13.24,light rain
281,Santiago,CL,-33.4569,-70.6483,64.85,51,20,2.3,few clouds
282,Naze,JP,28.3667,129.4833,74.32,69,100,5.66,overcast clouds
283,Banyo,CM,6.75,11.8167,66.96,90,92,1.66,light rain
284,Naryshkino,RU,52.9678,35.7268,42.01,88,100,15.28,light rain
285,Hostotipaquillo,MX,21.0667,-104.0667,65.3,56,68,1.66,broken clouds
286,Kenai,US,60.5544,-151.2583,30.15,96,90,4.61,mist
287,Okhotsk,RU,59.3833,143.3,6.51,71,22,20.94,few clouds
288,Gusevskiy,RU,55.662,40.5627,40.48,83,100,11.79,light rain
289,Souris,CA,49.6172,-100.2612,30.06,42,8,13.29,clear sky
290,Nakamura,JP,32.9833,132.9333,67.1,90,100,11.52,overcast clouds
291,Sibu,MY,2.3,111.8167,89.91,62,40,1.99,scattered clouds
292,Karratha,AU,-20.7377,116.8463,77.29,52,38,21.47,scattered clouds
293,Puerto Escondido,MX,15.85,-97.0667,77.2,77,83,4.38,broken clouds
294,Morant Bay,JM,17.8815,-76.4093,80.22,84,83,3.09,broken clouds
295,San Buenaventura,MX,27.0833,-101.5333,63.48,64,19,2.48,few clouds
296,Reconquista,AR,-29.15,-59.65,65.64,69,70,5.68,broken clouds
297,Dubrovnik,HR,42.6481,18.0922,58.64,94,75,3.44,broken clouds
298,Pachora,IN,20.6667,75.35,83.71,29,89,9.4,overcast clouds
299,Lagoa,PT,39.05,-27.9833,68.0,84,40,16.75,scattered clouds
300,Beterou,BJ,9.1992,2.2586,73.99,81,78,3.53,broken clouds
301,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,40,6.91,light rain
302,Huatusco,MX,19.15,-96.95,58.33,98,98,0.36,overcast clouds
303,New Cumnock,GB,55.3956,-4.1846,45.25,90,75,5.68,broken clouds
304,Mecca,SA,21.4267,39.8261,84.36,41,0,2.08,clear sky
305,Kosai,JP,34.7105,137.5316,73.17,51,47,24.74,scattered clouds
306,Gannan,CN,47.9147,123.5031,31.15,37,100,20.89,snow
307,Buchanan,LR,5.8808,-10.0467,76.96,87,23,0.96,few clouds
308,Vasto,IT,42.1243,14.7059,54.45,91,99,6.35,overcast clouds
309,Kem,RU,64.9555,34.5793,24.96,90,7,6.71,clear sky
310,Olinda,BR,-8.0089,-34.8553,80.33,78,40,6.91,scattered clouds
311,Sur,OM,22.5667,59.5289,81.55,46,1,8.61,clear sky
312,Guerrero Negro,MX,27.9769,-114.0611,64.65,84,100,7.83,overcast clouds
313,Palmas Bellas,PA,9.2319,-80.0867,80.26,88,100,5.53,overcast clouds
314,Starkville,US,33.4504,-88.8184,43.79,84,0,2.48,clear sky
315,Ostrovnoy,RU,68.0531,39.5131,19.63,96,99,11.23,light snow
316,Bay Village,US,41.4848,-81.9221,51.67,84,11,8.25,few clouds
317,Bontang,ID,0.1333,117.5,80.74,81,96,4.52,moderate rain
318,Codrington,AU,-38.2667,141.9667,58.64,60,62,11.18,broken clouds
319,Porto Murtinho,BR,-21.6989,-57.8825,73.13,75,100,4.21,overcast clouds
320,Matehuala,MX,23.65,-100.65,55.81,71,0,9.31,clear sky
321,Saldanha,ZA,-33.0117,17.9442,59.05,69,69,19.22,broken clouds
322,Sioux Lookout,CA,50.1001,-91.917,41.38,93,90,3.44,overcast clouds
